tag,equipment,VR,VY,VB,IR,IY,IB,temperature,MW,MVAR,MVA,fault,reason,protection,load_percent
5CAP-276A,CapacitorBank,398.2878912,393.5306714,390.7584837,77.30076453,39.09267782,64.06174646,71.53481412,0.06,0.046,0.106,Normal,Normal operation,None,60.1517296
5VFD-948,VFD,411.59998,401.3445594,389.2513499,85.80362556,119.8571544,128.0240315,30.53532754,0.011,0.034,0.045,Normal,Normal operation,None,111.2282705
6VFD-279,VFD,402.6053356,398.6255522,398.9751459,137.3451731,64.83272947,44.39584202,53.70701801,0.096,0.039,0.135,Normal,Normal operation,None,82.19124821
3LP-434B,Lighting,404.1739757,419.3129485,381.3437361,125.6443472,38.42950876,69.25629793,25.17135305,0.06,0.017,0.077,Normal,Normal operation,None,77.77671797
6CT-559,CT,401.4295574,380.848844,401.378438,83.72599923,40.48625998,126.3440532,28.66187302,0.055,0.019,0.074,Normal,Normal operation,None,83.51877081
2VFD-108B,VFD,390.8058036,402.6808616,380.6957974,86.75259426,67.73286218,121.0901645,95.65211999,0.051,0.012,0.063,Overheating,High temperature,Thermal,91.8585403
3CB-342B,CircuitBreaker,389.1289532,414.9490307,384.2453863,23.57904169,134.249795,78.85372002,37.36365589,0.065,0.029,0.094,Normal,Normal operation,None,78.89418559
3SNS-777,Sensor,414.0077424,389.4159054,399.8525389,88.11807571,60.8682505,51.26796883,62.57480605,0.048,0.043,0.091,Normal,Normal operation,None,66.75143168
1PM-835B,Motor,400.6677991,408.1812846,407.0502503,115.170235,25.10138658,42.6135961,47.67358393,0.079,0.011,0.09,Normal,Normal operation,None,60.96173922
5CB-537,CircuitBreaker,397.7244517,385.5390817,394.5302761,56.72661591,71.31005219,94.05106379,98.94252303,0.015,0.039,0.054,Overheating,High temperature,Thermal,74.02924396
2PLC-748A,PLC,397.0911641,412.7422166,401.9759828,99.66828113,57.90667009,45.02809607,93.64483416,0.077,0.038,0.115,Overheating,High temperature,Thermal,67.53434909
3PT-790B,PT,402.6643778,404.2947039,392.1198469,73.56376069,37.49283969,129.8095313,51.75067117,0.035,0.014,0.049,Normal,Normal operation,None,80.28871056
1CT-521,CT,391.5090458,406.1794275,384.0431684,64.21745965,74.10303496,125.0161838,71.24187054,0.032,0.03,0.062,Normal,Normal operation,None,87.77889281
2UPS-559,UPS,382.0354784,410.1834135,415.0232781,133.3275978,115.7632669,138.2294813,77.3033135,0.05,0.032,0.082,Overload,Load exceeded limit,Thermal,129.106782
6CT-664A,CT,397.8505865,406.6651955,393.2177791,121.0475831,141.0951487,46.89977902,69.85134943,0.069,0.023,0.092,Normal,Normal operation,None,103.0141703
5UPS-704,UPS,403.2516067,398.7729876,403.7410234,24.64176115,111.2649151,137.1011566,76.21242428,0.094,0.039,0.133,Normal,Normal operation,None,91.00261094
5SB-350B,Switchboard,397.7718964,400.3178398,395.8579227,106.951243,137.5505786,32.7144033,39.72043617,0.086,0.01,0.096,Normal,Normal operation,None,92.4054083
4G-841,Generator,404.1995932,403.3226718,383.084569,49.08902128,67.92649817,131.1167645,87.80215704,0.016,0.033,0.049,Normal,Normal operation,None,82.71076133
2SNS-737A,Sensor,411.6588989,396.3969493,418.7965152,118.5929527,33.54174729,76.7214339,94.42141894,0.021,0.036,0.057,Overheating,High temperature,Thermal,76.28537796
7SA-232B,SurgeArrestor,415.3575582,384.6588392,418.3210389,62.09232933,147.5058609,71.22687433,98.46620672,0.037,0.026,0.063,Overheating,High temperature,Thermal,93.60835485
7PT-239B,PT,390.8544708,381.4450659,413.0347461,68.9590518,146.2609666,85.38143277,59.09215602,0.092,0.023,0.115,Normal,Normal operation,None,100.2004837
6SA-450,SurgeArrestor,380.6653192,406.1263939,419.4603298,37.61848403,117.3298408,118.5558276,78.55630698,0.03,0.006,0.036,Normal,Normal operation,None,91.1680508
2BB-257,Battery,395.0643472,410.1841407,389.8451796,97.62737075,47.13756295,72.48493948,69.05314629,0.075,0.006,0.081,Normal,Normal operation,None,72.4166244
5CB-350,CircuitBreaker,401.6650705,389.8435255,380.9656322,145.5693065,38.25538307,20.33914873,64.40156031,0.021,0.046,0.067,Normal,Normal operation,None,68.05461277
1TR-861B,Transformer,395.9655521,396.7487518,383.2366424,100.4248601,79.3538605,143.3336556,39.01622618,0.018,0.012,0.03,Normal,Normal operation,None,107.7041254
5UPS-546A,UPS,400.5242609,391.7452735,403.0621763,111.4894039,97.94768238,131.6109008,80.61315067,0.046,0.036,0.082,Normal,Normal operation,None,113.6826624
2PLC-573,PLC,403.3426481,393.4259093,409.0091917,118.260437,115.2576798,105.9738044,31.02177571,0.085,0.026,0.111,Normal,Normal operation,None,113.1639738
4SB-472,Switchboard,401.3859106,401.6612417,399.89567,131.7970565,135.1780133,125.1401734,49.06516005,0.039,0.042,0.081,Overload,Load exceeded limit,Thermal,130.7050811
2TR-995A,Transformer,414.2593587,401.4238996,387.8058735,123.8552891,50.36331525,100.7680178,74.77798434,0.056,0.015,0.071,Normal,Normal operation,None,91.66220738
5CAP-450A,CapacitorBank,417.1327934,401.6989001,417.0065471,49.85636146,149.8586904,96.60612429,71.01120145,0.078,0.008,0.086,Normal,Normal operation,None,98.77372538
2SA-703A,SurgeArrestor,398.6134233,417.7158699,380.3325277,69.36597487,59.173985,129.618572,86.90755263,0.065,0.02,0.085,Normal,Normal operation,None,86.05284394
4G-995,Generator,408.4519929,401.8327211,415.4447478,89.8211726,79.62781568,135.7009271,25.31628641,0.037,0.045,0.082,Normal,Normal operation,None,101.7166385
2CT-645,CT,385.8303602,412.9645026,408.8054072,32.27888024,106.3422594,38.64963121,91.39286069,0.074,0.014,0.088,Overheating,High temperature,Thermal,59.09025694
6TR-325A,Transformer,417.3072117,419.1698477,406.9549645,123.9464494,97.70346915,31.07401786,45.826285,0.061,0.034,0.095,Normal,Normal operation,None,84.24131214
2PM-636,Motor,380.6995756,397.0509186,408.4526551,64.59591928,108.3676554,144.9881944,30.19420459,0.091,0.02,0.111,Normal,Normal operation,None,105.983923
5PLC-339A,PLC,400.9576767,390.1812792,413.9921749,76.2447815,34.12301044,107.9079993,58.57125783,0.046,0.035,0.081,Normal,Normal operation,None,72.75859707
7SNS-644A,Sensor,410.3922661,381.4821481,413.0689502,43.98559643,48.51730418,113.6364727,36.28412353,0.091,0.048,0.139,Normal,Normal operation,None,68.71312444
4SA-207,SurgeArrestor,394.6118871,417.3620673,390.5032969,39.69395774,77.33107393,110.8285225,92.0061569,0.042,0.039,0.081,Overheating,High temperature,Thermal,75.95118474
5UPS-412B,UPS,416.4952371,381.1864436,393.5370084,22.08585607,128.6945237,37.91143674,92.52951514,0.034,0.032,0.066,Overheating,High temperature,Thermal,62.89727218
5LP-563B,Lighting,400.9996332,386.2545953,386.2075225,128.4941231,75.7940042,140.3984028,41.85930182,0.021,0.009,0.03,Normal,Normal operation,None,114.89551
3PM-856B,Motor,419.7613139,403.7220428,398.5312695,119.9374547,46.11414683,34.73888661,77.18584559,0.056,0.047,0.103,Normal,Normal operation,None,66.9301627
6CB-315A,CircuitBreaker,393.7982017,419.2399743,417.3250392,40.84570562,138.4041393,22.38906309,28.67432972,0.083,0.048,0.131,Normal,Normal operation,None,67.21296934
3CB-382A,CircuitBreaker,411.7656271,384.1155015,406.0835029,131.8840719,132.4005166,33.41632667,26.40099576,0.067,0.006,0.073,Normal,Normal operation,None,99.23363839
1VFD-677B,VFD,394.2599864,387.494779,380.7153232,124.7041506,34.57064575,149.7563301,95.42173619,0.056,0.045,0.101,Overheating,High temperature,Thermal,103.0103755
3CT-170B,CT,391.5695314,384.5146759,385.2551062,75.54538734,83.62550932,138.1236471,95.65248178,0.015,0.037,0.052,Overheating,High temperature,Thermal,99.09818126
4SB-690A,Switchboard,413.01205,415.9365869,399.674957,126.9598246,55.64279638,127.5882287,34.12250862,0.046,0.049,0.095,Normal,Normal operation,None,103.3969499
1PT-469A,PT,418.4905766,395.3458159,381.4679879,85.1857775,79.94195163,142.5145297,39.25307868,0.056,0.011,0.067,Normal,Normal operation,None,102.5474196
1CAP-490,CapacitorBank,418.841355,395.931469,382.0284449,114.3049669,146.1619393,139.717378,69.87100517,0.062,0.008,0.07,Overload,Load exceeded limit,Thermal,133.3947614
1CT-839B,CT,414.7181743,391.95708,413.2276841,140.6822455,38.81012122,22.12991036,90.80253958,0.059,0.046,0.105,Overheating,High temperature,Thermal,67.2074257
6SA-347B,SurgeArrestor,381.998812,403.0294376,400.2458811,75.47094208,93.39922354,79.11445706,35.57309223,0.079,0.029,0.108,Normal,Normal operation,None,82.66154089
1SA-584,SurgeArrestor,385.119333,391.9481692,418.0562832,144.3406675,97.14491447,140.5982643,79.88511729,0.043,0.009,0.052,Overload,Load exceeded limit,Thermal,127.3612821
4PLC-702B,PLC,397.0485509,414.2654968,410.1616335,149.5139678,102.5361279,22.15144,56.95516224,0.069,0.025,0.094,Normal,Normal operation,None,91.40051191
3SB-338A,Switchboard,399.984163,382.0038104,400.8880574,89.57116146,106.8451016,142.7080969,50.87440983,0.051,0.017,0.068,Normal,Normal operation,None,113.0414533
7PM-275A,Motor,403.7900344,394.4262192,419.7833164,47.96449333,101.3772485,134.9984238,50.64208193,0.098,0.029,0.127,Normal,Normal operation,None,94.78005521
7CAP-458B,CapacitorBank,392.3910793,395.0863281,388.2264216,45.39257201,112.607846,67.62653037,32.78473233,0.051,0.019,0.07,Normal,Normal operation,None,75.20898278
6TR-361A,Transformer,407.6777388,389.9384911,387.0414091,50.99850133,77.57019004,67.81741109,50.59354945,0.033,0.026,0.059,Normal,Normal operation,None,65.46203416
3TR-611,Transformer,395.6831564,407.7911932,406.8909358,72.12690188,137.7647722,63.72663118,62.35630938,0.049,0.027,0.076,Normal,Normal operation,None,91.20610175
3LP-774A,Lighting,418.8186136,409.0873509,397.6832089,91.08979789,101.7835774,69.78241398,25.22072235,0.064,0.023,0.087,Normal,Normal operation,None,87.55192976
6UPS-824B,UPS,380.6382067,389.0475409,417.0571613,107.965998,105.3735728,85.14129715,93.71900679,0.02,0.038,0.058,Overheating,High temperature,Thermal,99.49362264
4PT-767,PT,408.44306,411.893506,383.1104121,144.2806703,94.2458046,71.07907196,35.7033975,0.022,0.032,0.054,Normal,Normal operation,None,103.2018489
4PM-445A,Motor,414.4368172,386.7438427,410.8162326,131.9554885,79.43429779,67.50762525,39.81372554,0.054,0.022,0.076,Normal,Normal operation,None,92.96580384
5PLC-317,PLC,403.8392676,414.6923772,414.2192916,115.9851578,29.88167431,100.0116661,27.95527772,0.044,0.023,0.067,Normal,Normal operation,None,81.95949938
7BB-731,Battery,393.559058,418.343876,388.2392872,99.45854001,97.46669026,44.37469525,46.31746082,0.033,0.01,0.043,Normal,Normal operation,None,80.4333085
4SNS-276B,Sensor,393.4265972,401.1873669,413.9484161,136.0751391,131.4574429,55.35632021,56.47146288,0.072,0.022,0.094,Normal,Normal operation,None,107.6296341
6LP-637A,Lighting,406.3358303,391.8523458,416.0036819,101.157077,137.8914414,34.51302925,76.74953011,0.014,0.013,0.027,Normal,Normal operation,None,91.18718253
7CB-929A,CircuitBreaker,382.1817798,399.8299786,380.8587539,35.32836138,144.5148672,107.2699989,69.10559747,0.012,0.034,0.046,Normal,Normal operation,None,95.70440913
2PLC-353A,PLC,414.0236285,387.2642458,395.6320838,32.20174321,82.3264422,22.6031407,41.84068347,0.01,0.018,0.028,Normal,Normal operation,None,45.71044204
6G-887A,Generator,380.8139034,403.5506603,406.405433,57.26026735,27.27433555,109.9801612,57.73186591,0.048,0.049,0.097,Normal,Normal operation,None,64.83825471
1LP-866B,Lighting,386.2709938,397.7006148,404.0502947,87.18334673,66.7813436,135.7148921,88.36132906,0.038,0.013,0.051,Normal,Normal operation,None,96.55986079
1SB-244,Switchboard,381.7750014,388.3210253,391.4868236,25.52354042,80.87943508,88.18185057,30.59042145,0.07,0.017,0.087,Normal,Normal operation,None,64.86160869
2PM-393B,Motor,387.4949673,418.2275882,381.9289129,100.405187,47.34738812,30.58364096,65.22690882,0.07,0.014,0.084,Normal,Normal operation,None,59.44540535
1TR-188,Transformer,391.2030378,397.8879085,391.4334777,72.14504726,139.2388665,33.61946811,55.60238422,0.013,0.008,0.021,Normal,Normal operation,None,81.66779396
7PM-486,Motor,383.2690801,407.972107,411.157078,123.8441642,69.78701077,66.16369476,34.65299429,0.052,0.024,0.076,Normal,Normal operation,None,86.59828992
1VFD-525B,VFD,387.4541555,393.8988139,413.2267607,61.1575959,136.9874512,120.4271233,40.7837124,0.091,0.032,0.123,Normal,Normal operation,None,106.1907235
7TR-706A,Transformer,384.943724,385.1898455,387.9008946,101.9466125,136.7903739,114.7377717,46.95728084,0.068,0.048,0.116,Normal,Normal operation,None,117.8249194
6CT-756A,CT,400.7228821,417.149923,382.5301929,33.65572594,143.2175464,30.5856893,87.57097789,0.055,0.043,0.098,Normal,Normal operation,None,69.15298721
2G-410B,Generator,392.47158,386.9309418,410.5273419,146.4243772,122.7048579,36.61630915,82.76100413,0.047,0.035,0.082,Normal,Normal operation,None,101.9151814
2TR-270B,Transformer,387.2994793,384.3272716,392.4913543,104.6701622,102.3826664,73.65579399,44.44595654,0.062,0.007,0.069,Normal,Normal operation,None,93.56954084
2G-746A,Generator,404.1815343,391.6417543,381.4970886,42.06025871,85.11666131,49.16317457,83.21412475,0.093,0.01,0.103,Normal,Normal operation,None,58.78003153
3SB-947B,Switchboard,389.4855542,407.0414164,385.5727889,64.28093927,107.2962847,88.10461146,65.06615717,0.098,0.012,0.11,Normal,Normal operation,None,86.5606118
7PM-127A,Motor,409.4999257,394.8741614,416.9971818,62.60664284,40.87116739,112.3587295,54.63763649,0.041,0.011,0.052,Normal,Normal operation,None,71.94551323
5CB-599A,CircuitBreaker,409.7521459,399.0186338,385.3685459,132.4497667,74.90651322,74.61746118,64.65319964,0.041,0.02,0.061,Normal,Normal operation,None,93.99124702
1SNS-944B,Sensor,412.0553325,391.7129406,386.0251829,30.81836502,122.5959515,50.49275493,83.75388612,0.043,0.04,0.083,Normal,Normal operation,None,67.96902381
1SB-664B,Switchboard,389.5534901,400.7570142,387.6639441,42.19545529,93.5960384,109.4798751,75.12228346,0.04,0.013,0.053,Normal,Normal operation,None,81.75712294
3PM-694,Motor,383.5800674,381.0058137,410.2617236,62.21573734,72.12961177,124.4230173,80.1878317,0.078,0.009,0.087,Normal,Normal operation,None,86.25612214
6TR-525,Transformer,405.0210085,408.7064709,406.4248347,95.68776381,125.2457025,141.722808,69.26086428,0.03,0.011,0.041,Overload,Load exceeded limit,Thermal,120.8854248
6CT-829B,CT,396.5822142,416.010117,409.1595408,101.7125732,63.65378156,142.4202315,65.37755242,0.06,0.015,0.075,Normal,Normal operation,None,102.5955288
5TR-306A,Transformer,383.9064743,406.9653873,395.7611503,42.99062516,88.51853056,113.3806266,78.48840192,0.094,0.011,0.105,Normal,Normal operation,None,81.62992743
6PLC-172A,PLC,416.8417182,417.7454209,392.6088896,116.1068317,113.8589106,131.4364757,84.40964593,0.046,0.019,0.065,Overload,Load exceeded limit,Thermal,120.467406
3PLC-894A,PLC,418.8095807,398.3001699,415.1089467,116.9472287,116.5378731,23.01273601,61.64403816,0.08,0.05,0.13,Normal,Normal operation,None,85.49927927
4TR-223,Transformer,410.3771309,401.555293,381.5631531,89.32797663,28.42633831,68.80123071,59.47526513,0.072,0.02,0.092,Normal,Normal operation,None,62.18518188
4CT-886A,CT,385.6927653,407.8078529,389.8196568,37.89090894,114.4895559,26.80179558,77.42161027,0.045,0.007,0.052,Normal,Normal operation,None,59.72742014
7PT-356,PT,380.8151574,418.9425798,404.0356962,43.63334146,121.6886865,92.48087467,78.25477583,0.077,0.006,0.083,Normal,Normal operation,None,85.93430088
3BB-578B,Battery,407.2002341,381.165997,383.9152366,120.9826693,23.24213236,99.16841721,45.47092169,0.078,0.043,0.121,Normal,Normal operation,None,81.13107297
7CB-996A,CircuitBreaker,400.7160524,417.6548176,391.4167487,38.21842186,82.96029503,63.45838203,83.78923003,0.088,0.049,0.137,Normal,Normal operation,None,61.54569964
6BB-669A,Battery,400.5710426,401.2805037,386.5236021,23.49606955,49.68603824,80.5027463,53.68197366,0.074,0.036,0.11,Normal,Normal operation,None,51.2282847
2PLC-255A,PLC,386.458126,380.8669551,387.950541,57.19793967,43.28516324,113.4609733,68.36329613,0.011,0.005,0.016,Normal,Normal operation,None,71.31469207
3SB-830A,Switchboard,384.2233016,414.9280835,390.5658145,115.4102209,114.776927,35.41833558,83.58088352,0.06,0.027,0.087,Normal,Normal operation,None,88.53516119
3CAP-498,CapacitorBank,382.9541581,407.370649,397.1835173,28.81587082,55.1993686,80.84206498,76.79725154,0.089,0.011,0.1,Normal,Normal operation,None,54.9524348
5G-794,Generator,390.7740488,380.7638304,382.3610672,52.54870192,131.6737338,112.079639,84.84381465,0.071,0.021,0.092,Normal,Normal operation,None,98.76735826
3PT-452A,PT,395.0791804,389.748487,389.7569471,57.04865054,119.5747414,108.8794985,67.17515144,0.023,0.024,0.047,Normal,Normal operation,None,95.16763014
3SA-480,SurgeArrestor,401.2390048,419.7830538,385.2687763,75.53149235,107.1824427,62.64992312,42.94996351,0.014,0.024,0.038,Normal,Normal operation,None,81.78795272
2SB-475,Switchboard,397.1852238,383.5587213,392.0680075,105.7909271,89.4663889,63.22657208,35.94699822,0.044,0.018,0.062,Normal,Normal operation,None,86.16129604
6G-759B,Generator,388.1693925,384.3549707,389.7552466,20.60515266,42.4026219,113.3845691,82.25226631,0.051,0.032,0.083,Normal,Normal operation,None,58.79744789
2SNS-846,Sensor,387.2947351,391.915193,405.6136836,133.2138936,42.49202787,101.4321822,77.66081034,0.015,0.031,0.046,Normal,Normal operation,None,92.37936791
2PT-329,PT,406.5879654,385.0904923,380.0801377,39.79849344,67.86555691,98.99924708,33.17089157,0.019,0.028,0.047,Normal,Normal operation,None,68.88776581
7CT-437A,CT,407.4347731,412.4365674,403.8418817,69.89507916,20.75278615,51.37268839,77.95095023,0.053,0.033,0.086,Normal,Normal operation,None,47.34018457
4G-881B,Generator,412.2284246,419.3485146,384.1218827,122.950951,61.74172859,116.8497396,88.53740816,0.056,0.041,0.097,Normal,Normal operation,None,100.5141397
3SA-192B,SurgeArrestor,411.3871564,386.8175635,400.5738915,31.69916218,142.1139617,114.4273436,92.45238011,0.065,0.025,0.09,Overheating,High temperature,Thermal,96.08015583
2CB-164B,CircuitBreaker,385.1230707,383.9670377,403.9358682,106.3500739,71.07206648,125.1677012,61.25213336,0.096,0.025,0.121,Normal,Normal operation,None,100.8632805
2SA-804B,SurgeArrestor,417.6314387,399.4660073,387.7452717,21.86329814,78.42576168,61.66019501,27.67601069,0.04,0.015,0.055,Normal,Normal operation,None,53.98308495
